cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"59052","0","4210227","3973888","NBH Bank","Greenwood Villag","CO","80111","6/30/2018","8/15/2018","SM","7800 E Orchard Rd Suite 200","NATIONAL BANK HOLDINGS CORPORATION","104","0","1","4","0","Arapahoe","19740","Denver-Aurora-Lakewood, CO","12/10/2010","12/10/2010","1/1/2018","Stock","0","0","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","0","www.nbhbank.com","107589","10670","96919","1914","37769","0","8464","254","29051","97282","57767","15104","24411","35492","49","6705","28836","0","28836","0","28836","948","9403","0","28796.31"
"35014","0","2747587","2772990","NBKC Bank","Overland Park","KS","66211","6/30/2018","8/15/2018","NM","10700 Nall Ave","AMERI-NATIONAL CORPORATION","4","0","1","4","1","Johnson","28140","Kansas City, MO-KS","3/30/1999","3/30/1999","12/18/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.nbkc.com","11295","3460","7835","1970","38016","0","17","","37999","36804","21890","3119","11795","7077","53","243","6887","0","6887","0","6887","102","3450","0","6835.59"
"7230","10286","702117","1139279","NBT Bank, National Association","Norwich","NY","13815","6/30/2018","8/15/2018","N","52 South Broad Street","NBT BANCORP INC.","154","0","1","4","0","Chenango","","","3/3/1856","1/1/1934","3/9/2013","Stock","0","1","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","0","www.nbtbank.com","165464","14363","151101","16274","48555","10143","9080","0","29332","115740","60924","15881","38935","67642","-77","15198","52367","0","52367","0","52367","13324","22600","0","52427.83"
"5331","0","881544","1248555","NBW BANK","Waupun","WI","53963","6/30/2018","8/15/2018","SM","210 East Main Street","NATIONAL BANCSHARES WAUPUN, INC.","4","0","0","4","0","Fond Du Lac","22540","Fond du Lac, WI","9/1/1905","1/1/1934","8/1/2017","Stock","0","0","FED","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.nbwbank.com","3378","216","3162","60","302","0","86","0","216","1941","1097","253","591","1463","0","340","1123","0","1123","0","1123","14","545","0","1123"
"58724","18064","3614846","4181130","Nebraska Bank of Commerce","Lincoln","NE","68516","6/30/2018","8/15/2018","NM","6000 Village Drive, # 100","NBC BANCSHARES LLC","2","0","0","4","0","Lancaster","30700","Lincoln, NE","12/3/2007","12/3/2007","2/5/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","www.thenbcbank.com","2573","603","1970","111","217","0","63","","154","1835","1044","223","568","241","0","57","184","0","184","0","184","-17","0","0","184"
"16516","0","514057","1840801","Nebraska State Bank","Lynch","NE","68746","6/30/2018","8/15/2018","NM","202 N 4th St","JDJ BANCO, INC.","1","0","0","2","0","Boyd","","","12/9/1946","12/9/1946","6/9/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","","261","21","240","0","39","0","16","","23","195","134","7","54","84","0","7","77","0","77","0","77","0","0","0","77"
"9819","52466","911759","1051399","Nebraska State Bank","Oshkosh","NE","69154","6/30/2018","8/15/2018","NM","218 Main Street","O & F CATTLE COMPANY","1","0","0","2","1","Garden","","","6/21/1921","1/1/1934","7/23/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.fsa-loans.com","1186","132","1054","0","520","0","6","","514","628","377","23","228","946","0","10","936","0","936","0","936","0","1500","0","936"
"13696","0","70955","0","Nebraska State Bank","Bristow","NE","68719","6/30/2018","8/15/2018","NM","301 Prairie Street","","1","0","0","2","0","Boyd","","","11/14/1924","1/19/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","","376","40","336","0","35","0","20","","15","283","189","32","62","88","0","15","73","0","73","0","73","0","0","0","73"
"8322","52873","412153","1051072","Nebraska State Bank and Trust Company","Broken Bow","NE","68822","6/30/2018","8/15/2018","NM","945 South D Street","FIRST CENTRAL NEBRASKA CO.","5","0","0","2","1","Custer","","","2/23/1917","1/1/1934","1/5/2018","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.nesb.net","4878","833","4045","60","358","17","165","","176","2681","1574","560","547","1662","0","45","1617","0","1617","0","1617","9","1575","0","1617"
"34811","0","2667957","2947350","NebraskaLand National Bank","North Platte","NE","69101","6/30/2018","8/15/2018","N","1400 South Dewey","NEBRASKALAND FINANCIAL SERVICES, INC.","7","0","1","4","0","Lincoln","","","5/14/1998","5/14/1998","12/13/2013","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.nebraskalandbank.com","13570","3192","10378","0","1312","0","123","0","1189","7729","4199","1541","1989","3961","10","740","3231","0","3231","0","3231","-1","0","0","3222.9"
