cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"33999","15683","2290887","3385100","The Simsbury Bank & Trust Company","Simsbury","CT","6070","6/30/2018","8/15/2018","NM","981 Hopmeadow Street","SBT BANCORP, INC.","6","0","0","4","0","Hartford","25540","Hartford-West Hartford-East Hartford, CT","3/31/1995","3/31/1995","9/26/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Hartford","Boston","Northeastern","Northeast","0","1","www.simsburybank.com","68","488832","26397","16527","45957","531","396375","4167","0","1675","0","2502","15395","488831","449732","439644","296855","439644","74.004567186313","2861","0","3748","0","3479","39099","39099","0","22776","0","16323","0","943","0","1274","459390","203187","502364.33","501506","366100","493642","9485","7826","0","1659","15670","2367","3748","5056","156550","40414","4167","156550","28419"
"4773","0","356659","1063141","The Solomon State Bank","Solomon","KS","67480","6/30/2018","8/15/2018","NM","126 West Main Street","SOLOMON BANCSHARES, INC.","3","0","0","6","1","Dickinson","","","7/1/1905","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","20","200741","18751","17103","9495","2513","166701","5791","0","718","671","0","1892","200741","172662","158848","148853","158848","89.274596736157","0","0","13446","0","368","28079","28079","0","100","950","27029","0","0","0","1066","195812","6445","199426.67","199428.5","127993","195301","0","0","0","0","15901","409","13446","0","8879","28108","1652","8879","0"
"29731","3971","117775","2496193","The Southern Bank Company","Gadsden","AL","35901","6/30/2018","8/15/2018","NM","221 S Sixth St","SOUTHERN BANC COMPANY, INC., THE","4","0","0","4","0","Etowah","23460","Gadsden, AL","6/1/1936","7/2/1936","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://www.sobanco.com","31","96330","4578","1517","19597","0","69002","1093","0","701","68","0","2384","96330","85930","77555","70461","77555","91.2740775121838","0","0","6000","0","2375","10400","10400","0","1","7818","2581","0","1885","0","207","90116","26077","98021","97670.5","71565","97478","0","0","0","0","10699","477","6000","0","23537","9672","897","23537","0"
"9871","0","568126","4001144","The St. Henry Bank","St. Henry","OH","45883","6/30/2018","8/15/2018","SM","231 East Main Street","SAINT HENRY BANCORP, INC","3","0","0","2","1","Mercer","","","1/5/1905","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.sthenrybank.com","28","309330","19996","3063","70789","0","207272","2335","0","720","0","0","10553","309330","267658","252536","176255","252536","72.0166759706864","0","0","13165","0","1957","41672","41672","0","101","1000","40571","0","969","0","1244","281124","87692","312277.67","308868.5","225351","310387","7481","7481","0","0","14701","172","13165","0","25732","43766","2335","25732","0"
"15312","12473","315357","2192628","The St. Marys State Bank","Saint Marys","KS","66536","6/30/2018","8/15/2018","SM","905 East Bertrand Avenue","PCI HOLDINGS, INC.","2","0","0","4","1","Pottawatomie","31740","Manhattan, KS","8/1/1927","12/7/1935","7/13/2018","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.smsb.org","24","95050","6434","3785","22566","3448","60378","1083","0","1272","0","0","952","95050","83967","81385","59153","81385","86.5974064249926","0","0","2341","0","241","11083","11083","0","750","850","9483","0","55","0","662","90177","29340","95084","94714.5","79580","95255","0","0","0","0","2416","768","2341","0","16216","11358","995","16216","0"
"15751","13154","786256","1138786","The State Bank","Richmond","MO","64085","6/30/2018","8/15/2018","NM","803 Wollard Boulevard","C.S. BANCSHARES, INC.","1","0","0","2","1","Ray","28140","Kansas City, MO-KS","7/1/1940","7/1/1940","8/12/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","http://www.gostatebank.com","10","32911","4749","4171","10238","0","17465","324","0","199","0","0","260","32911","30096","29459","22268","29459","95.2519938910572","495","0","0","0","142","2815","2815","0","144","512","2159","0","106","0","182","31874","3630","32718.67","33422.5","14811","32993","0","0","0","0","495","8","0","0","2908","2938","187","2908","0"
"11406","12118","602048","1248818","The State Bank","Fenton","MI","48430","6/30/2018","8/15/2018","NM","175 N. Leroy St.","FENTURA FINANCIAL, INC.","16","0","0","4","0","Genesee","22420","Flint, MI","1/1/1898","1/1/1934","12/31/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.thestatebank.com","178","841712","27047","7607","45190","20000","708267","4033","0","14236","92","8049","18831","841712","767790","701991","464480","701991","86.2488606585394","0","0","60000","0","5799","73922","73922","0","2199","47821","23902","0","981","0","2314","781064","317186","804395.67","815959.5","688970","800671","9935","9935","0","0","36540","6689","60000","4936","153446","69659","4033","153446","22883"
"13715","12931","550448","1245200","The State Bank","Spirit Lake","IA","51360","6/30/2018","8/15/2018","NM","1902 Hill Avenue","STATE BANCO, LTD.","2","0","0","2","1","Dickinson","","","10/5/1928","1/20/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","http://www.statebankspiritlake.com","15","74344","8472","7341","13593","0","47741","637","0","2148","626","0","1764","74344","65631","65332","56338","65332","91.7238638274455","0","0","192","0","107","8713","8713","0","200","800","7713","0","751","0","674","68675","7067","73494.67","74003.5","51748","73552","951","951","0","0","5364","522","0","0","10527","8844","637","10527","0"
"1778","13278","387055","1056732","The State Bank","La Junta","CO","81050","6/30/2018","8/15/2018","NM","124 Colorado Street","ARK VALLEY BANKSHARES, INC.","5","0","0","2","0","Otero","","","1/16/1893","1/1/1934","9/28/2017","Stock","0","1","FDIC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","www.redibank.com","32","103798","9083","8211","21441","5","63159","800","0","4027","755","0","5328","103798","89564","87408","62103","87408","77.1096189702703","0","0","1564","0","592","14234","14234","0","183","4336","9715","0","626","0","1035","92816","21889","103509.33","104409","77416","101878","3548","3548","0","0","4101","2308","1564","0","10182","14446","800","10182","0"
"13339","11900","614313","1071454","The State Bank and Trust Company","Defiance","OH","43512","6/30/2018","8/15/2018","SM","401 Clinton Street","SB FINANCIAL GROUP INC","20","0","1","4","0","Defiance","","","3/28/1902","1/1/1934","6/18/2013","Stock","0","1","FED","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.yourstatebank.com","241","942917","24458","11411","89842","0","752343","8494","1415","21382","16","27420","26041","942917","823898","770011","621834","770011","84.2639376552197","18192","1415","26500","0","7780","119019","119019","0","5500","46427","67092","0","2122","0","1997","853596","221214","914304","933506","866618","910625","16656","16656","0","0","47174","2223","26500","7551","184946","103244","8494","184946","172232"
