,Tot Dom Deposits to Tot Assets,Return On Assets,Net Op Inc to Assets,Pretax ROA,Assets per Emp,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Yield on Earning Assets,Net Loans Lease to Tot Assets,RE to Ave Equity,Net Interest Margin,Efficiency Ratio,Core Capital Ratio,Equity to Assets,Noncurr Assets Other RE,Cost of Funding Earnings Assets,Noncurrent Loans to Loans,Number Employees,Return on Equity
39,81.75160453,1.325576474,1.325576474,1.574406651,4.218770492,0.826309037,3.406482441,5.403862843,89.36110409999998,10.68614849,4.694857442,64.73582409,11.54097945,11.07475697,0.292344259,0.7090054020000001,0.322094973,183.0,11.88710921
40,81.02835813,0.403824716,0.376944085,0.500399602,5.326805825,0.371384503,2.8543658360000004,4.0284984260000005,83.63907768,4.03316881,3.294972787,83.88620387,8.871769806,9.878413082,0.369444885,0.733525639,0.390770295,103.0,4.03316881
41,64.33781166,0.729826368,0.890290858,0.75537029,10.19725,0.145965274,1.392751985,3.849011882,58.56971242,-1.675977654,2.576407143,54.47193149,9.466111557,8.762779181,0.8721714190000001,1.2726047390000002,1.4705274469999998,16.0,8.379888268
43,86.04228654,0.591024258,0.591024258,0.665278579,4.2833404260000005,0.63091087,3.037653965,3.730887675,60.78212471,6.964871139,3.3528705660000004,80.1867426,7.763241739,7.452549959,1.157006115,0.378017109,1.832912872,188.0,7.8363115589999985
45,89.00360127,1.895681278,1.890056111,1.895681278,4.655766667,0.510483905,1.836617025,4.400680816,67.04159,10.88206797,3.95826883,42.61011419,10.7555056,10.62982824,0.5806419279999999,0.442411986,0.8549982079999999,30.0,18.38224014
48,80.68996014,2.0545552330000003,2.061608379,2.277904849,8.001948718,0.069878388,2.430723007,5.750728326,81.40356836,19.19463087,5.008454308,49.70165446,10.91317146,11.07807073,0.332931722,0.7422740179999999,0.122173995,39.0,19.19463087
49,86.16973975,1.259500673,1.259500673,1.624714208,5.331037037,0.506855287,2.095464735,3.847331894,67.43875835,8.115089648,3.4573693210000003,56.32698768,12.31398784,12.29140324,0.06808487,0.389962573,0.09975367,27.0,10.41073028
50,78.59701237,0.971254982,0.971254982,1.23700156,3.107,1.305876247,4.340629027,5.70006487,89.79590329999998,9.750153465,4.470307687,77.82209595,10.13123987,9.890510626000001,0.8229419809999999,1.229757183,0.13960699,218.0,9.750153465
51,72.17319215,0.746934344,0.746934344,0.999098202,9.857896552,0.112481255,2.35990083,4.291185334,78.28137079,6.954219537999999,3.465595178,70.25607354,9.631883372,10.37711759,0.6884031359999999,0.825590156,0.113399696,29.0,6.954219537999999
53,88.63061479999998,1.335844071,1.335844071,1.442752323,5.447221311,0.752939551,2.977309988,4.635842617,70.93223948,13.673352599999998,3.93343126,65.40268072,9.595692778,10.40649391,0.251218474,0.702411357,0.026728607,244.0,13.673352599999998
55,90.69888734,2.004308609,2.004308609,2.004308609,7.066742857,0.190613839,1.717978808,3.927688591,52.11978847,8.838604651,3.772772131,45.24886878,9.484390541,9.113513601000001,0.014959407,0.15491646,0.028242981,35.0,22.02907568
56,84.12549327,0.935561376,0.935561376,1.35091981,9.189092308,0.162458742,2.062053646,3.863781682,70.52023218,4.818509403999999,3.449644171,58.97116582,15.4415939,15.43435277,0.287966837,0.414137511,0.369733064,65.0,6.13684303
57,86.47497725,1.316223601,1.316223601,1.6945083369999998,5.0611842110000005,0.619765129,2.772360735,4.823928692,74.11204992,6.4084447010000005,4.575568007,60.38374718,12.96627425,12.49707526,0.565709086,0.248360685,0.728110154,38.0,10.66674282
58,86.62533904,1.354699499,1.354699499,1.728472578,5.481983607,0.478915749,2.237168621,4.3458437210000005,71.94894752,7.837446242,4.01134859,52.76662844,12.04725267,11.91204572,2.096285597,0.334495131,2.843928078,61.0,11.41808345
60,83.72350945,0.456706059,0.456706059,0.456706059,5.756769231,0.669191658,3.0368883280000003,3.2046709210000004,52.04775649,2.632472641,3.085588605,86.92733017,10.18236662,9.05288757,1.531307624,0.119082315,0.192283204,26.0,4.814079802
61,83.34845604,1.57130335,1.57130335,1.57130335,3.634982456,0.651871978,3.038015301,5.559917725,80.63409172,1.413684044,4.575154395,58.30872219,9.614473158,10.44480053,1.326534552,0.98476333,0.705181811,114.0,14.97114578
62,78.22460822,1.092852289,1.092852289,1.31244153,7.786740157,0.236729593,2.624401203,5.050073595,78.71693181,10.03868745,4.174137936,64.53124466,9.842707984,10.86957841,0.466706306,0.875935659,0.514419515,381.0,10.03868745
63,83.34701386,1.32194763,1.32194763,1.32194763,4.764154472,0.46390068,2.959483169,4.632676567,82.00450178,-4.6483796360000005,4.207465317,65.99214739,10.9035863,10.87695886,0.860764073,0.42521125,0.321612614,123.0,12.0820733
64,83.12925536,1.350513854,1.353184174,1.350513854,4.644875,0.596148726,2.628929095,3.86053014,56.9586103,5.697647865,3.668154528,66.01844091,12.13900514,11.7131785,0.240184074,0.192375612,0.412156897,64.0,11.54944051
65,88.97587183,1.309196145,1.309196145,1.309196145,3.365530612,0.5714171020000001,2.777521102,4.49125791,73.79980717,-1.5150889930000002,3.822401268,66.20689655,9.98510409,9.665819745,1.1278811000000002,0.6688566420000001,1.424040391,49.0,13.37712721
66,87.59942005,1.113206673,1.113206673,1.585910241,4.598095238,0.382664794,2.776877674,4.81491424,80.86992543,5.186863826000001,4.44553905,60.77026422,11.95958257,11.94076222,0.385252693,0.36937519,0.469940247,21.0,9.597462318
67,88.29730090000002,1.203254219,1.203254219,1.203254219,3.930174603,1.370268271,3.137228535,3.740641502,55.13574932,8.399381582,3.3160249960000003,70.74413245,9.626723,8.935478182,0.09221826,0.424616506,0.010116533,189.0,13.44021216
68,84.01255586,0.952575424,0.952575424,1.235400043,3.69757377,0.7194984590000001,2.943402786,4.818285095,82.77958076,2.008601886,4.10122255,67.7480916,14.08253132,13.74184224,0.39059729,0.717062545,0.323595553,61.0,6.72134094
69,92.28122632,0.588100033,0.588100033,0.588100033,4.57771875,0.19789148,3.366942368,4.352866549,67.07967260000001,7.610459874,3.931433238,85.1303735,8.003194432999999,7.6525562,1.344829234,0.421433311,1.976106168,32.0,7.610459874
