,Fed RSSD,Bank Name,Yield on Earning Assets,Cost of Funding Earnings Assets,Net Interest Margin,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Loan Lease Loss Prov to Assets,Net Op Inc to Assets,Return On Assets,Pretax ROA,Return on Equity,RE to Ave Equity,Net Chargeoffs to Loans,Credit Loss Prov to Chargeoffs,Efficiency Ratio,Assets per Emp,Cash Div to Net Inc,Earning Assets to Total Asst Ratio,Loss Allow to Loans,Loan Loss Allow to noncurr Loans,Noncurr Assets Other RE,Noncurrent Loans to Loans,Net Loans Lease to Tot Assets,Net Loans Lease to Deposits,Net Loans Lease to core deposits,Tot Dom Deposits to Tot Assets,Equity to Assets,Core Capital Ratio,Tier 1-based risk capital ,Total risk based  Capt ratio,Common Equity tier 1,Average Total Assets.1,Average earning assets,Average equity,Average Total Loans,Bank Size
4856,507330,The Heritage Bank,4.288441045,0.285062553,4.003378491,1.821969891,4.185217592,0.230605748,0.950464649,0.950464649,0.950464649,12.44995671,12.44995671,0.152081656,263.7130802,77.50275028,2.9465414360000004,0.0,88.41004718,1.497942682,89.98384491,2.703797316,1.664679569,61.80970667,67.37713462,68.98235922,91.7369179,7.877387854,8.509639297,11.31064117,12.54720681,11.31064117,542050.67,479894.67,41381.67,311674.67,Medium
4857,96553,The Hershey State Bank,6.306451121,1.094682026,5.211769095,0.934761929,2.992328275,0.354282947,1.831370311,1.831370311,2.311014916,10.32839533,10.32839533,0.535734364,77.84431138,52.89017341,3.6377,0.0,91.22110125,2.313240111,394.8924731,3.74274954,0.585789872,85.26678945,104.7870813,132.7008642,81.37147098,18.34675757,18.26891492,21.53458957,22.79781879,21.53458957,73387.67,66503.33,13012.67,62344.33,Medium
4858,892223,The Hicksville Bank,3.861154945,0.171136848,3.690018097,0.515648001,2.935361084,0.07316627,0.799951222,0.832701839,0.88496346,6.626464267999999,5.004505441,0.0,47.6072566992661,76.07223476,3.802633333,24.47698745,90.2690241,1.141055133,51.47766323,1.275431938,2.2166024280000003,56.88338783,66.87277149,71.44650209999998,85.06210608,12.63861009,13.02514748,20.90749209,21.96130848,20.90749209,114807.0,104010.33,14427.0,65754.67,Medium
4860,230610,The Hocking Valley Bank,3.734489083,0.333860414,3.400628668,0.440813008,2.488667611,0.0,0.898887625,0.899458257,1.12057805,9.343855358999999,9.343855358999999,0.060403878,0.0,68.96619885,4.557586207,0.0,92.79791178,1.427076452,335.3021978,0.377544072,0.425609036,63.78451994,72.24302669,75.81329053,88.29159416,10.40553832,9.937400808,17.23368519,18.48664288,17.23368519,280391.0,261187.0,26991.0,168863.33,Medium
4861,468673,THE HOME LOAN SAVINGS BANK,5.115071735,0.654687681,4.460384055,0.447241848,2.172592942,0.274706739,1.675229163,1.675229163,2.143676444,14.46023913,-2.179851928,0.362507223,84.56973294,47.32311568,5.0181463410000005,115.0747986,92.88047282,1.14005221,366.7802385,0.285306011,0.310827054,90.74286492,112.5846505,116.7103215,80.59967727,11.47688389,11.71081044,14.86973419,16.12051239,14.86973419,207494.0,192763.67,24038.33,185927.33,Medium
4862,696645,The Home National Bank of Thorntown,4.0149404330000005,0.370143123,3.64479731,0.485891986,2.956465853,0.05606446,0.693330488,0.693330488,0.8409668990000001,7.762586217999999,7.762586217999999,0.069851657,157.8947368,76.72162949,4.530083333,0.0,92.88644433,2.134162786,63.74865736,1.71262486,3.347776839,50.06530417,55.10761941,57.48988709,90.85005795,8.877688048,9.509554318,15.62734671,16.88403243,15.62734671,107019.67,98880.67,9558.67,54401.0,Medium
4863,296474,"The Home Savings and Loan Company of Kenton, Ohio",3.937414336,0.519767173,3.417647164,0.068440557,1.964744767,0.292124328,1.226922178,1.226922178,1.016592662,4.452431224,4.452431224,0.286801955,157.6576577,60.02039776,6.757722222000001,0.0,93.46344511,1.482870502,200.3333333,0.537656508,0.7402015820000001,65.65081923,105.2578162,109.5988362,62.37144337,27.2609936,28.17600026,36.59899562,37.84912918,36.59899562,119812.0,112358.0,33015.67,77405.33,Medium
4864,60545,The Home Trust & Savings Bank,3.662094672,0.883564043,2.778530629,0.051663222,1.038264116,0.7949470040000001,0.845710286,0.844110393,0.8791080590000001,9.323228413999999,0.230089546,1.5269828090000002,81.39931741,38.25606386,17.52428571,97.53208292,95.14551235,1.419633626,232.3210412,0.504198255,0.611065454,60.62688514,73.41151154,78.32483781,82.58498409999999,8.67286215,9.407295083,14.07001109,15.32108961,14.07001109,240016.0,229977.67,21730.67,153505.33,Medium
4865,3217331,The Hometown Bank of Alabama,5.250172417,0.546095685,4.704076732,1.532406845,3.647941958,0.314166005,1.5005947119999998,1.487203103,1.929069679,10.65321146,2.918299947,0.196197385,243.8596491,61.74445295,6.0435689660000005,72.60638298,92.62225164,0.94209784,281.2977099,0.7577162390000001,0.334911308,66.32242309,77.61115303,82.7191375,85.45475812,14.2533956,14.76768481,22.97693219,23.97659761,22.97693219,353953.0,329246.33,49412.33,232419.0,Medium
4866,77253,The Hondo National Bank,4.397948088,0.526448385,3.871499703,0.435639291,2.576266851,0.135887485,1.326901326,1.326901326,1.326901326,13.70673451,4.590930353,0.040742014,531.25,63.78389076,4.481709091,66.5060241,93.13451849,0.945576802,627.0491803,0.098988211,0.150797869,65.02227235,72.60619623,79.30176291,89.55471533,9.947909483,10.12143451,14.03346038,14.95204686,14.03346038,250207.0,232881.33,24221.67,157086.0,Medium
4867,465618,The Honesdale National Bank,4.396064097,0.351820443,4.0442436530000005,0.7975538790000001,2.840873735,0.062774804,1.406783348,1.406783348,1.646269224,9.436318901,4.661314156,0.048451084000000005,170.9401709,61.44453642,4.406186207,50.60240964,92.54825113,1.824781977,447.5101626,0.388168985,0.407763249,74.16312802,88.52142949,91.13195136,83.77985809999998,14.97314904,15.11978864,18.54046949,19.79658625,18.54046949,637198.33,591210.67,94994.67,482961.33,Medium
4871,237954,The Idabel National Bank,4.496463023,0.8591639870000001,3.637299035,0.6588604029999999,2.538502052,0.0,1.605253401,1.6660460069999998,1.6660460069999998,18.78764129,2.112220027,-0.083756385,0.0,61.26090404,4.387464286,88.75739645,94.96862001,1.650056734,393.1596091,0.249900284,0.419691315,58.56132325,72.86520211,88.65638902,80.36939658,8.749765972999999,9.561805101000001,15.85618806,17.11156,15.85618806,121725.33,116625.0,10794.33,71636.33,Medium
4872,504647,The International Bank of Amherst,3.855192222,0.224246241,3.630945981,0.341464355,2.3873068280000003,-0.017661949,1.442392535,1.442392535,1.451223509,10.50225423,6.215619853,0.0,47.6072566992661,62.48073960000001,5.355307692,40.81632653,96.09158419,0.933134714,3320.0,0.070383085,0.028106467000000003,50.6284204,58.72738179,59.65271549,86.20922449,13.56526236,14.09471578,27.95284849,28.9288024,27.95284849,67942.67,65107.0,9331.33,35034.67,Medium
4873,233442,The Iuka State Bank,5.039423082,0.983190529,4.056232553,-1.016909069,2.837885775,1.219000935,-1.29639782,-1.29639782,-1.259849291,-14.24745442,-14.24745442,1.396890537,106.779661,101.4604151,3.881291667,0.0,93.65760969,1.213566785,114.8883375,1.655376754,1.056301111,80.9202263,98.71527914,105.4164044,81.97335509,8.81364666,8.71428118,10.80134804,12.0195649,10.80134804,93027.0,87470.33,8464.67,76026.0,Medium
4874,924058,The Jacksboro National Bank,4.176001992,0.397418116,3.778583876,0.8283486959999999,3.446099625,0.063394033,0.911183565,0.923017118,0.923017118,8.577262322000001,0.125674173,0.0,47.6072566992661,77.9541109,4.077553571,98.53479853,94.88839159,1.629052699,128.8844622,0.6595341220000001,1.2639636090000002,51.32979772,57.99361718,59.41260556,88.50939157,10.8774957,11.51316485,19.88486938,21.1369879,19.88486938,236615.33,224952.0,25462.67,120558.0,Medium
4875,785857,The James Polk Stone Community Bank,4.771456123,0.117647059,4.653809065,1.010041726,3.671197868,0.180521843,1.408070374,1.408070374,1.408070374,12.8814851,0.4591899,0.426205719,90.30837004,69.79742173,3.309208955,96.43527205,91.13238949,1.935289918,144.2577031,1.124406338,1.341550487,47.07983601,56.47873607,57.02703736,83.35851559,11.20437314,10.76534393,19.99919494,21.25427686,19.99919494,227119.33,207400.0,24826.33,106521.33,Medium
